id,id_player_casa,gols_casa,id_time_casa,id_player_fora,gols_fora,id_time_fora,gols_total,id_resultado
1404256,603262,3,21,603265,3,6,6,0
1404257,603263,2,20,603264,4,2,6,2
1404258,603264,4,2,603262,3,21,7,1
1404259,603265,4,6,603266,6,9,10,2
1404260,603266,1,9,603264,3,2,4,2
1404261,603262,2,21,603263,4,20,6,2
1404262,603263,1,20,603266,3,9,4,2
1404263,603264,2,2,603265,7,6,9,2
1404264,603265,4,6,603263,2,20,6,1
1404265,603266,2,9,603262,3,21,5,2
1404056,603212,2,14,603215,4,15,6,2
1404057,603213,1,17,603214,5,70,6,2
1404058,603214,4,70,603212,6,14,10,2
1404059,603215,4,15,603216,7,49,11,2
1404060,603216,4,49,603214,6,70,10,2
1404061,603212,5,14,603213,2,17,7,1
1404062,603213,3,17,603216,4,49,7,2
1404063,603214,2,70,603215,4,15,6,2
1404064,603215,3,15,603213,2,17,5,1
1404065,603216,4,49,603212,4,14,8,0
1404066,603215,8,15,603212,4,14,12,1
1404067,603214,2,70,603213,1,17,3,1
1404068,603212,3,14,603214,5,70,8,2
1404069,603216,5,49,603215,5,15,10,0
1404070,603214,3,70,603216,5,49,8,2
1404071,603213,2,17,603212,3,14,5,2
1404072,603216,5,49,603213,5,17,10,0
1404073,603215,3,15,603214,2,70,5,1
1404074,603213,2,17,603215,7,15,9,2
1404075,603212,4,14,603216,2,49,6,1
1404416,603307,0,265,603310,2,273,2,2
1404417,603308,1,266,603309,1,215,2,0
1404418,603309,1,215,603307,2,265,3,2
1404419,603310,3,273,603311,0,274,3,1
1404420,603311,2,274,603309,2,215,4,0
1404421,603307,4,265,603308,1,266,5,1
1404422,603308,2,266,603311,1,274,3,1
1404423,603309,2,215,603310,1,273,3,1
1404424,603310,4,273,603308,2,266,6,1
1404425,603311,0,274,603307,3,265,3,2
1404426,603310,3,273,603307,1,265,4,1
1404427,603309,2,215,603308,0,266,2,1
1404428,603307,1,265,603309,2,215,3,2
1404429,603311,0,274,603310,3,273,3,2
1404430,603309,3,215,603311,0,274,3,1
1404431,603308,1,266,603307,3,265,4,2
1404432,603311,2,274,603308,3,266,5,2
1404433,603310,1,273,603309,0,215,1,1
1404434,603308,1,266,603310,4,273,5,2
1404435,603307,3,265,603311,1,274,4,1
1403796,603147,0,73,603150,0,135,0,0
1403797,603148,1,21,603149,0,74,1,1
1403798,603149,3,74,603147,1,73,4,1
1403799,603150,0,135,603151,1,166,1,2
1403800,603151,0,166,603149,2,74,2,2
1403801,603147,0,73,603148,0,21,0,0
1403802,603148,0,21,603151,1,166,1,2
1403803,603149,1,74,603150,0,135,1,1
1403804,603150,0,135,603148,2,21,2,2
1403805,603151,0,166,603147,0,73,0,0
1403806,603150,1,135,603147,1,73,2,0
1403807,603149,4,74,603148,2,21,6,1
1403808,603147,1,73,603149,0,74,1,1
1403809,603151,1,166,603150,1,135,2,0
1403810,603149,2,74,603151,2,166,4,0
1403811,603148,4,21,603147,2,73,6,1
1403812,603151,1,166,603148,0,21,1,1
1403813,603150,1,135,603149,2,74,3,2
1403814,603148,1,21,603150,3,135,4,2
1403815,603147,1,73,603151,0,166,1,1
1403876,603167,2,221,603170,4,8,6,2
1403877,603168,1,164,603169,1,24,2,0
1403878,603169,2,24,603167,3,221,5,2
1403879,603170,3,8,603171,4,49,7,2
1403880,603171,1,49,603169,3,24,4,2
1403881,603167,1,221,603168,0,164,1,1
1403882,603168,1,164,603171,2,49,3,2
1403883,603169,2,24,603170,3,8,5,2
1403884,603170,1,8,603168,1,164,2,0
1403885,603171,2,49,603167,7,221,9,2
1403886,603170,1,8,603167,2,221,3,2
1403887,603169,2,24,603168,1,164,3,1
1403888,603167,5,221,603169,1,24,6,1
1403889,603171,1,49,603170,2,8,3,2
1403890,603169,2,24,603171,4,49,6,2
1403891,603168,0,164,603167,2,221,2,2
1403892,603171,3,49,603168,1,164,4,1
1403893,603170,2,8,603169,0,24,2,1
1403894,603168,3,164,603170,2,8,5,1
1403895,603167,4,221,603171,2,49,6,1
1404266,603267,4,33,603270,3,39,7,1
1404267,603268,0,34,603269,2,32,2,2
1404268,603269,4,32,603267,3,33,7,1
1404269,603270,1,39,603271,1,48,2,0
1404270,603271,2,48,603269,3,32,5,2
1404271,603267,2,33,603268,4,34,6,2
1404272,603268,3,34,603271,0,48,3,1
1404273,603269,4,32,603270,0,39,4,1
1404274,603270,1,39,603268,4,34,5,2
1404275,603271,1,48,603267,1,33,2,0
1404276,603270,1,39,603267,1,33,2,0
1404277,603269,2,32,603268,4,34,6,2
1404278,603267,3,33,603269,3,32,6,0
1404279,603271,2,48,603270,3,39,5,2
1404280,603269,1,32,603271,2,48,3,2
1404281,603268,4,34,603267,1,33,5,1
1404282,603271,1,48,603268,1,34,2,0
1404283,603270,2,39,603269,4,32,6,2
1404284,603268,3,34,603270,1,39,4,1
1404285,603267,2,33,603271,2,48,4,0
1404476,603322,3,21,603325,1,20,4,1
1404477,603323,1,9,603324,0,19,1,1
1404478,603324,2,19,603322,3,21,5,2
1404479,603325,3,20,603326,0,6,3,1
1404480,603326,2,6,603324,4,19,6,2
1404481,603322,2,21,603323,2,9,4,0
1404482,603323,2,9,603326,1,6,3,1
1404483,603324,4,19,603325,3,20,7,1
1404484,603325,1,20,603323,3,9,4,2
1404485,603326,4,6,603322,5,21,9,2
1404486,603325,2,20,603322,1,21,3,1
1404487,603324,2,19,603323,2,9,4,0
1404488,603322,3,21,603324,4,19,7,2
1404489,603326,2,6,603325,1,20,3,1
1404490,603324,3,19,603326,3,6,6,0
1404491,603323,0,9,603322,2,21,2,2
1404492,603326,3,6,603323,1,9,4,1
1404493,603325,2,20,603324,2,19,4,0
1404494,603323,0,9,603325,2,20,2,2
1404495,603322,3,21,603326,2,6,5,1
1404076,603217,0,184,603220,1,6,1,2
1404077,603218,2,186,603219,4,21,6,2
1404078,603219,0,21,603217,2,184,2,2
1404079,603220,3,6,603221,2,20,5,1
1404080,603221,3,20,603219,1,21,4,1
1404081,603217,0,184,603218,2,186,2,2
1404082,603218,4,186,603221,5,20,9,2
1404083,603219,0,21,603220,5,6,5,2
1404084,603220,2,6,603218,3,186,5,2
1404085,603221,2,20,603217,1,184,3,1
1404086,603220,2,6,603217,0,184,2,1
1404087,603219,0,21,603218,2,186,2,2
1404088,603217,1,184,603219,0,21,1,1
1404089,603221,3,20,603220,2,6,5,1
1404090,603219,2,21,603221,2,20,4,0
1404091,603218,0,186,603217,1,184,1,2
1404092,603221,4,20,603218,5,186,9,2
1404093,603220,4,6,603219,0,21,4,1
1404094,603218,3,186,603220,2,6,5,1
1404095,603217,2,184,603221,2,20,4,0
1404436,603312,1,200,603315,1,275,2,0
1404437,603313,0,262,603314,4,209,4,2
1404438,603314,1,209,603312,2,200,3,2
1404439,603315,2,275,603316,2,132,4,0
1404440,603316,1,132,603314,1,209,2,0
1404441,603312,7,200,603313,2,262,9,1
1404442,603313,1,262,603316,2,132,3,2
1404443,603314,0,209,603315,1,275,1,2
1404444,603315,2,275,603313,0,262,2,1
1404445,603316,0,132,603312,3,200,3,2
1404446,603315,3,275,603312,1,200,4,1
1404447,603314,3,209,603313,0,262,3,1
1404448,603312,0,200,603314,0,209,0,0
1404449,603316,0,132,603315,5,275,5,2
1404450,603314,2,209,603316,3,132,5,2
1404451,603313,0,262,603312,3,200,3,2
1404452,603316,1,132,603313,1,262,2,0
1404453,603315,0,275,603314,1,209,1,2
1404454,603313,0,262,603315,3,275,3,2
1404455,603312,6,200,603316,1,132,7,1
1405730,603282,1,9,603864,5,10,6,2
1404317,603283,2,283,603284,3,12,5,2
1404318,603284,1,12,603282,3,9,4,2
1405731,603864,2,10,603286,0,11,2,1
1404320,603286,2,11,603284,2,12,4,0
1404321,603282,0,9,603283,1,283,1,2
1404322,603283,5,283,603286,2,11,7,1
1405732,603284,1,12,603864,2,10,3,2
1405733,603864,4,10,603283,1,283,5,1
1404325,603286,1,11,603282,2,9,3,2
1405734,603864,3,10,603282,2,9,5,1
1404327,603284,6,12,603283,0,283,6,1
1404328,603282,0,9,603284,2,12,2,2
1405735,603286,0,11,603864,3,10,3,2
1404330,603284,3,12,603286,2,11,5,1
1404331,603283,2,283,603282,3,9,5,2
1404332,603286,3,11,603283,1,283,4,1
1405736,603864,1,10,603284,0,12,1,1
1405737,603283,0,283,603864,2,10,2,2
1404335,603282,2,9,603286,1,11,3,1
1404496,603327,2,8,603330,0,2,2,1
1404497,603328,1,7,603329,3,3,4,2
1404498,603329,1,3,603327,3,8,4,2
1404499,603330,3,2,603331,1,6,4,1
1404500,603331,1,6,603329,4,3,5,2
1404501,603327,3,8,603328,6,7,9,2
1404502,603328,2,7,603331,4,6,6,2
1404503,603329,4,3,603330,3,2,7,1
1404504,603330,1,2,603328,3,7,4,2
1404505,603331,3,6,603327,3,8,6,0
1404506,603330,4,2,603327,2,8,6,1
1404507,603329,2,3,603328,0,7,2,1
1404508,603327,1,8,603329,1,3,2,0
1404509,603331,2,6,603330,4,2,6,2
1404510,603329,1,3,603331,2,6,3,2
1404511,603328,0,7,603327,3,8,3,2
1404512,603331,4,6,603328,4,7,8,0
1404513,603330,1,2,603329,3,3,4,2
1404514,603328,3,7,603330,3,2,6,0
1404515,603327,2,8,603331,5,6,7,2
1404096,603222,0,221,603225,3,24,3,2
1404097,603223,1,164,603224,0,49,1,1
1404098,603224,1,49,603222,1,221,2,0
1404099,603225,1,24,603226,2,8,3,2
1404100,603226,5,8,603224,3,49,8,1
1404101,603222,1,221,603223,2,164,3,2
1404102,603223,0,164,603226,3,8,3,2
1404103,603224,1,49,603225,2,24,3,2
1404104,603225,2,24,603223,1,164,3,1
1404105,603226,2,8,603222,2,221,4,0
1404106,603225,2,24,603222,0,221,2,1
1404107,603224,0,49,603223,0,164,0,0
1404108,603222,1,221,603224,1,49,2,0
1404109,603226,2,8,603225,1,24,3,1
1404110,603224,1,49,603226,0,8,1,1
1404111,603223,0,164,603222,2,221,2,2
1404112,603226,2,8,603223,2,164,4,0
1404113,603225,4,24,603224,1,49,5,1
1404114,603223,1,164,603225,1,24,2,0
1404115,603222,4,221,603226,4,8,8,0
1404286,603272,3,9,603275,0,21,3,1
1404287,603273,2,20,603274,3,2,5,2
1404288,603274,1,2,603272,2,9,3,2
1404289,603275,3,21,603276,4,6,7,2
1404290,603276,3,6,603274,2,2,5,1
1404291,603272,6,9,603273,1,20,7,1
1404292,603273,0,20,603276,3,6,3,2
1404293,603274,3,2,603275,3,21,6,0
1404294,603275,0,21,603273,2,20,2,2
1404295,603276,5,6,603272,1,9,6,1
1404296,603275,0,21,603272,3,9,3,2
1404297,603274,2,2,603273,2,20,4,0
1404298,603272,1,9,603274,3,2,4,2
1404299,603276,2,6,603275,1,21,3,1
1404300,603274,2,2,603276,4,6,6,2
1404301,603273,3,20,603272,1,9,4,1
1404302,603276,5,6,603273,0,20,5,1
1404303,603275,5,21,603274,3,2,8,1
1404304,603273,2,20,603275,2,21,4,0
1404305,603272,0,9,603276,2,6,2,2
1405738,603287,0,45,603865,5,233,5,2
1404337,603288,0,8,603289,2,236,2,2
1404338,603289,0,236,603287,1,45,1,2
1405739,603865,2,233,603291,1,47,3,1
1404340,603291,1,47,603289,2,236,3,2
1404341,603287,1,45,603288,0,8,1,1
1404342,603288,2,8,603291,4,47,6,2
1405740,603289,1,236,603865,3,233,4,2
1405741,603865,2,233,603288,2,8,4,0
1404345,603291,3,47,603287,2,45,5,1
1405742,603865,5,233,603287,1,45,6,1
1404347,603289,3,236,603288,0,8,3,1
1404348,603287,2,45,603289,1,236,3,1
1405743,603291,3,47,603865,2,233,5,1
1404350,603289,2,236,603291,4,47,6,2
1404351,603288,0,8,603287,5,45,5,2
1404352,603291,1,47,603288,1,8,2,0
1405744,603865,2,233,603289,0,236,2,1
1405745,603288,2,8,603865,5,233,7,2
1404355,603287,3,45,603291,1,47,4,1
1404516,603332,2,33,603335,2,32,4,0
1404517,603333,2,37,603334,2,36,4,0
1404518,603334,1,36,603332,3,33,4,2
1404519,603335,2,32,603336,3,48,5,2
1404520,603336,0,48,603334,3,36,3,2
1404521,603332,3,33,603333,2,37,5,1
1404522,603333,4,37,603336,5,48,9,2
1404523,603334,1,36,603335,2,32,3,2
1404524,603335,2,32,603333,2,37,4,0
1404525,603336,1,48,603332,3,33,4,2
1404526,603335,1,32,603332,1,33,2,0
1404527,603334,4,36,603333,5,37,9,2
1404528,603332,1,33,603334,4,36,5,2
1404529,603336,4,48,603335,3,32,7,1
1404530,603334,2,36,603336,2,48,4,0
1404531,603333,1,37,603332,3,33,4,2
1404532,603336,4,48,603333,1,37,5,1
1404533,603335,2,32,603334,5,36,7,2
1404534,603333,3,37,603335,2,32,5,1
1404535,603332,2,33,603336,3,48,5,2
1404536,603337,3,164,603340,4,160,7,2
1404537,603338,4,10,603339,3,11,7,1
1404538,603339,2,11,603337,3,164,5,2
1404539,603340,2,160,603341,2,12,4,0
1404540,603341,1,12,603339,2,11,3,2
1404541,603337,1,164,603338,4,10,5,2
1404542,603338,5,10,603341,3,12,8,1
1404543,603339,1,11,603340,2,160,3,2
1404544,603340,3,160,603338,1,10,4,1
1404545,603341,3,12,603337,3,164,6,0
1404546,603340,2,160,603337,2,164,4,0
1404547,603339,4,11,603338,4,10,8,0
1404548,603337,3,164,603339,2,11,5,1
1404549,603341,2,12,603340,2,160,4,0
1404550,603339,6,11,603341,5,12,11,1
1404551,603338,1,10,603337,3,164,4,2
1404552,603341,3,12,603338,1,10,4,1
1404553,603340,1,160,603339,2,11,3,2
1404554,603338,1,10,603340,1,160,2,0
1404555,603337,3,164,603341,1,12,4,1
1404116,603227,0,2,603230,0,3,0,0
1404117,603228,0,4,603229,0,7,0,0
1404118,603229,1,7,603227,1,2,2,0
1404119,603230,2,3,603231,0,6,2,1
1404120,603231,1,6,603229,1,7,2,0
1404121,603227,1,2,603228,1,4,2,0
1404122,603228,3,4,603231,5,6,8,2
1404123,603229,1,7,603230,5,3,6,2
1404124,603230,3,3,603228,1,4,4,1
1404125,603231,5,6,603227,2,2,7,1
1404126,603230,1,3,603227,1,2,2,0
1404127,603229,0,7,603228,0,4,0,0
1404128,603227,2,2,603229,0,7,2,1
1404129,603231,1,6,603230,3,3,4,2
1404130,603229,1,7,603231,3,6,4,2
1404131,603228,1,4,603227,1,2,2,0
1404132,603231,1,6,603228,3,4,4,2
1404133,603230,5,3,603229,0,7,5,1
1404134,603228,2,4,603230,2,3,4,0
1404135,603227,0,2,603231,1,6,1,2
1405746,603292,0,37,603866,0,272,0,0
1404357,603293,2,38,603294,3,211,5,2
1404358,603294,2,211,603292,0,37,2,1
1405747,603866,1,272,603296,0,282,1,1
1404360,603296,1,282,603294,3,211,4,2
1404361,603292,4,37,603293,0,38,4,1
1404362,603293,1,38,603296,1,282,2,0
1405748,603294,1,211,603866,2,272,3,2
1405749,603866,3,272,603293,3,38,6,0
1404365,603296,3,282,603292,3,37,6,0
1405750,603866,3,272,603292,0,37,3,1
1404367,603294,2,211,603293,0,38,2,1
1404368,603292,3,37,603294,2,211,5,1
1405751,603296,2,282,603866,1,272,3,1
1404370,603294,1,211,603296,2,282,3,2
1404371,603293,1,38,603292,5,37,6,2
1404372,603296,2,282,603293,1,38,3,1
1405752,603866,2,272,603294,1,211,3,1
1405753,603293,1,38,603866,2,272,3,2
1404375,603292,3,37,603296,0,282,3,1
1404306,603277,3,9,603280,3,21,6,0
1404307,603278,2,20,603279,3,2,5,2
1404308,603279,2,2,603277,2,9,4,0
1404309,603280,2,21,603281,0,6,2,1
1404310,603281,2,6,603279,2,2,4,0
1404311,603277,0,9,603278,2,20,2,2
1404312,603278,2,20,603281,1,6,3,1
1404313,603279,5,2,603280,1,21,6,1
1404314,603280,2,21,603278,4,20,6,2
1404315,603281,2,6,603277,5,9,7,2
1404556,603342,1,21,603345,2,20,3,2
1404557,603343,1,9,603344,1,19,2,0
1404558,603344,2,19,603342,1,21,3,1
1404559,603345,2,20,603346,1,6,3,1
1404560,603346,5,6,603344,4,19,9,1
1404561,603342,3,21,603343,4,9,7,2
1404562,603343,5,9,603346,3,6,8,1
1404563,603344,3,19,603345,5,20,8,2
1404564,603345,3,20,603343,2,9,5,1
1404565,603346,1,6,603342,3,21,4,2
1404566,603345,2,20,603342,1,21,3,1
1404567,603344,4,19,603343,1,9,5,1
1404568,603342,3,21,603344,2,19,5,1
1404569,603346,1,6,603345,2,20,3,2
1404570,603344,0,19,603346,2,6,2,2
1404571,603343,5,9,603342,3,21,8,1
1404572,603346,3,6,603343,3,9,6,0
1404573,603345,3,20,603344,3,19,6,0
1404574,603343,0,9,603345,4,20,4,2
1404575,603342,2,21,603346,1,6,3,1
1404256,603262,3,21,603265,3,6,6,0
1404257,603263,2,20,603264,4,2,6,2
1404258,603264,4,2,603262,3,21,7,1
1404259,603265,4,6,603266,6,9,10,2
1404260,603266,1,9,603264,3,2,4,2
1404261,603262,2,21,603263,4,20,6,2
1404262,603263,1,20,603266,3,9,4,2
1404263,603264,2,2,603265,7,6,9,2
1404264,603265,4,6,603263,2,20,6,1
1404265,603266,2,9,603262,3,21,5,2
1404056,603212,2,14,603215,4,15,6,2
1404057,603213,1,17,603214,5,70,6,2
1404058,603214,4,70,603212,6,14,10,2
1404059,603215,4,15,603216,7,49,11,2
1404060,603216,4,49,603214,6,70,10,2
1404061,603212,5,14,603213,2,17,7,1
1404062,603213,3,17,603216,4,49,7,2
1404063,603214,2,70,603215,4,15,6,2
1404064,603215,3,15,603213,2,17,5,1
1404065,603216,4,49,603212,4,14,8,0
1404066,603215,8,15,603212,4,14,12,1
1404067,603214,2,70,603213,1,17,3,1
1404068,603212,3,14,603214,5,70,8,2
1404069,603216,5,49,603215,5,15,10,0
1404070,603214,3,70,603216,5,49,8,2
1404071,603213,2,17,603212,3,14,5,2
1404072,603216,5,49,603213,5,17,10,0
1404073,603215,3,15,603214,2,70,5,1
1404074,603213,2,17,603215,7,15,9,2
1404075,603212,4,14,603216,2,49,6,1
1404416,603307,0,265,603310,2,273,2,2
1404417,603308,1,266,603309,1,215,2,0
1404418,603309,1,215,603307,2,265,3,2
1404419,603310,3,273,603311,0,274,3,1
1404420,603311,2,274,603309,2,215,4,0
1404421,603307,4,265,603308,1,266,5,1
1404422,603308,2,266,603311,1,274,3,1
1404423,603309,2,215,603310,1,273,3,1
1404424,603310,4,273,603308,2,266,6,1
1404425,603311,0,274,603307,3,265,3,2
1404426,603310,3,273,603307,1,265,4,1
1404427,603309,2,215,603308,0,266,2,1
1404428,603307,1,265,603309,2,215,3,2
1404429,603311,0,274,603310,3,273,3,2
1404430,603309,3,215,603311,0,274,3,1
1404431,603308,1,266,603307,3,265,4,2
1404432,603311,2,274,603308,3,266,5,2
1404433,603310,1,273,603309,0,215,1,1
1404434,603308,1,266,603310,4,273,5,2
1404435,603307,3,265,603311,1,274,4,1
1403796,603147,0,73,603150,0,135,0,0
1403797,603148,1,21,603149,0,74,1,1
1403798,603149,3,74,603147,1,73,4,1
1403799,603150,0,135,603151,1,166,1,2
1403800,603151,0,166,603149,2,74,2,2
1403801,603147,0,73,603148,0,21,0,0
1403802,603148,0,21,603151,1,166,1,2
1403803,603149,1,74,603150,0,135,1,1
1403804,603150,0,135,603148,2,21,2,2
1403805,603151,0,166,603147,0,73,0,0
1403806,603150,1,135,603147,1,73,2,0
1403807,603149,4,74,603148,2,21,6,1
1403808,603147,1,73,603149,0,74,1,1
1403809,603151,1,166,603150,1,135,2,0
1403810,603149,2,74,603151,2,166,4,0
1403811,603148,4,21,603147,2,73,6,1
1403812,603151,1,166,603148,0,21,1,1
1403813,603150,1,135,603149,2,74,3,2
1403814,603148,1,21,603150,3,135,4,2
1403815,603147,1,73,603151,0,166,1,1
1403876,603167,2,221,603170,4,8,6,2
1403877,603168,1,164,603169,1,24,2,0
1403878,603169,2,24,603167,3,221,5,2
1403879,603170,3,8,603171,4,49,7,2
1403880,603171,1,49,603169,3,24,4,2
1403881,603167,1,221,603168,0,164,1,1
1403882,603168,1,164,603171,2,49,3,2
1403883,603169,2,24,603170,3,8,5,2
1403884,603170,1,8,603168,1,164,2,0
1403885,603171,2,49,603167,7,221,9,2
1403886,603170,1,8,603167,2,221,3,2
1403887,603169,2,24,603168,1,164,3,1
1403888,603167,5,221,603169,1,24,6,1
1403889,603171,1,49,603170,2,8,3,2
1403890,603169,2,24,603171,4,49,6,2
1403891,603168,0,164,603167,2,221,2,2
1403892,603171,3,49,603168,1,164,4,1
1403893,603170,2,8,603169,0,24,2,1
1403894,603168,3,164,603170,2,8,5,1
1403895,603167,4,221,603171,2,49,6,1
1404266,603267,4,33,603270,3,39,7,1
1404267,603268,0,34,603269,2,32,2,2
1404268,603269,4,32,603267,3,33,7,1
1404269,603270,1,39,603271,1,48,2,0
1404270,603271,2,48,603269,3,32,5,2
1404271,603267,2,33,603268,4,34,6,2
1404272,603268,3,34,603271,0,48,3,1
1404273,603269,4,32,603270,0,39,4,1
1404274,603270,1,39,603268,4,34,5,2
1404275,603271,1,48,603267,1,33,2,0
1404276,603270,1,39,603267,1,33,2,0
1404277,603269,2,32,603268,4,34,6,2
1404278,603267,3,33,603269,3,32,6,0
1404279,603271,2,48,603270,3,39,5,2
1404280,603269,1,32,603271,2,48,3,2
1404281,603268,4,34,603267,1,33,5,1
1404282,603271,1,48,603268,1,34,2,0
1404283,603270,2,39,603269,4,32,6,2
1404284,603268,3,34,603270,1,39,4,1
1404285,603267,2,33,603271,2,48,4,0
1404476,603322,3,21,603325,1,20,4,1
1404477,603323,1,9,603324,0,19,1,1
1404478,603324,2,19,603322,3,21,5,2
1404479,603325,3,20,603326,0,6,3,1
1404480,603326,2,6,603324,4,19,6,2
1404481,603322,2,21,603323,2,9,4,0
1404482,603323,2,9,603326,1,6,3,1
1404483,603324,4,19,603325,3,20,7,1
1404484,603325,1,20,603323,3,9,4,2
1404485,603326,4,6,603322,5,21,9,2
1404486,603325,2,20,603322,1,21,3,1
1404487,603324,2,19,603323,2,9,4,0
1404488,603322,3,21,603324,4,19,7,2
1404489,603326,2,6,603325,1,20,3,1
1404490,603324,3,19,603326,3,6,6,0
1404491,603323,0,9,603322,2,21,2,2
1404492,603326,3,6,603323,1,9,4,1
1404493,603325,2,20,603324,2,19,4,0
1404494,603323,0,9,603325,2,20,2,2
1404495,603322,3,21,603326,2,6,5,1
1404076,603217,0,184,603220,1,6,1,2
1404077,603218,2,186,603219,4,21,6,2
1404078,603219,0,21,603217,2,184,2,2
1404079,603220,3,6,603221,2,20,5,1
1404080,603221,3,20,603219,1,21,4,1
1404081,603217,0,184,603218,2,186,2,2
1404082,603218,4,186,603221,5,20,9,2
1404083,603219,0,21,603220,5,6,5,2
1404084,603220,2,6,603218,3,186,5,2
1404085,603221,2,20,603217,1,184,3,1
1404086,603220,2,6,603217,0,184,2,1
1404087,603219,0,21,603218,2,186,2,2
1404088,603217,1,184,603219,0,21,1,1
1404089,603221,3,20,603220,2,6,5,1
1404090,603219,2,21,603221,2,20,4,0
1404091,603218,0,186,603217,1,184,1,2
1404092,603221,4,20,603218,5,186,9,2
1404093,603220,4,6,603219,0,21,4,1
1404094,603218,3,186,603220,2,6,5,1
1404095,603217,2,184,603221,2,20,4,0
1404436,603312,1,200,603315,1,275,2,0
1404437,603313,0,262,603314,4,209,4,2
1404438,603314,1,209,603312,2,200,3,2
1404439,603315,2,275,603316,2,132,4,0
1404440,603316,1,132,603314,1,209,2,0
1404441,603312,7,200,603313,2,262,9,1
1404442,603313,1,262,603316,2,132,3,2
1404443,603314,0,209,603315,1,275,1,2
1404444,603315,2,275,603313,0,262,2,1
1404445,603316,0,132,603312,3,200,3,2
1404446,603315,3,275,603312,1,200,4,1
1404447,603314,3,209,603313,0,262,3,1
1404448,603312,0,200,603314,0,209,0,0
1404449,603316,0,132,603315,5,275,5,2
1404450,603314,2,209,603316,3,132,5,2
1404451,603313,0,262,603312,3,200,3,2
1404452,603316,1,132,603313,1,262,2,0
1404453,603315,0,275,603314,1,209,1,2
1404454,603313,0,262,603315,3,275,3,2
1404455,603312,6,200,603316,1,132,7,1
1405730,603282,1,9,603864,5,10,6,2
1404317,603283,2,283,603284,3,12,5,2
1404318,603284,1,12,603282,3,9,4,2
1405731,603864,2,10,603286,0,11,2,1
1404320,603286,2,11,603284,2,12,4,0
1404321,603282,0,9,603283,1,283,1,2
1404322,603283,5,283,603286,2,11,7,1
1405732,603284,1,12,603864,2,10,3,2
1405733,603864,4,10,603283,1,283,5,1
1404325,603286,1,11,603282,2,9,3,2
1405734,603864,3,10,603282,2,9,5,1
1404327,603284,6,12,603283,0,283,6,1
1404328,603282,0,9,603284,2,12,2,2
1405735,603286,0,11,603864,3,10,3,2
1404330,603284,3,12,603286,2,11,5,1
1404331,603283,2,283,603282,3,9,5,2
1404332,603286,3,11,603283,1,283,4,1
1405736,603864,1,10,603284,0,12,1,1
1405737,603283,0,283,603864,2,10,2,2
1404335,603282,2,9,603286,1,11,3,1
1404496,603327,2,8,603330,0,2,2,1
1404497,603328,1,7,603329,3,3,4,2
1404498,603329,1,3,603327,3,8,4,2
1404499,603330,3,2,603331,1,6,4,1
1404500,603331,1,6,603329,4,3,5,2
1404501,603327,3,8,603328,6,7,9,2
1404502,603328,2,7,603331,4,6,6,2
1404503,603329,4,3,603330,3,2,7,1
1404504,603330,1,2,603328,3,7,4,2
1404505,603331,3,6,603327,3,8,6,0
1404506,603330,4,2,603327,2,8,6,1
1404507,603329,2,3,603328,0,7,2,1
1404508,603327,1,8,603329,1,3,2,0
1404509,603331,2,6,603330,4,2,6,2
1404510,603329,1,3,603331,2,6,3,2
1404511,603328,0,7,603327,3,8,3,2
1404512,603331,4,6,603328,4,7,8,0
1404513,603330,1,2,603329,3,3,4,2
1404514,603328,3,7,603330,3,2,6,0
1404515,603327,2,8,603331,5,6,7,2
1404096,603222,0,221,603225,3,24,3,2
1404097,603223,1,164,603224,0,49,1,1
1404098,603224,1,49,603222,1,221,2,0
1404099,603225,1,24,603226,2,8,3,2
1404100,603226,5,8,603224,3,49,8,1
1404101,603222,1,221,603223,2,164,3,2
1404102,603223,0,164,603226,3,8,3,2
1404103,603224,1,49,603225,2,24,3,2
1404104,603225,2,24,603223,1,164,3,1
1404105,603226,2,8,603222,2,221,4,0
1404106,603225,2,24,603222,0,221,2,1
1404107,603224,0,49,603223,0,164,0,0
1404108,603222,1,221,603224,1,49,2,0
1404109,603226,2,8,603225,1,24,3,1
1404110,603224,1,49,603226,0,8,1,1
1404111,603223,0,164,603222,2,221,2,2
1404112,603226,2,8,603223,2,164,4,0
1404113,603225,4,24,603224,1,49,5,1
1404114,603223,1,164,603225,1,24,2,0
1404115,603222,4,221,603226,4,8,8,0
1404286,603272,3,9,603275,0,21,3,1
1404287,603273,2,20,603274,3,2,5,2
1404288,603274,1,2,603272,2,9,3,2
1404289,603275,3,21,603276,4,6,7,2
1404290,603276,3,6,603274,2,2,5,1
1404291,603272,6,9,603273,1,20,7,1
1404292,603273,0,20,603276,3,6,3,2
1404293,603274,3,2,603275,3,21,6,0
1404294,603275,0,21,603273,2,20,2,2
1404295,603276,5,6,603272,1,9,6,1
1404296,603275,0,21,603272,3,9,3,2
1404297,603274,2,2,603273,2,20,4,0
1404298,603272,1,9,603274,3,2,4,2
1404299,603276,2,6,603275,1,21,3,1
1404300,603274,2,2,603276,4,6,6,2
1404301,603273,3,20,603272,1,9,4,1
1404302,603276,5,6,603273,0,20,5,1
1404303,603275,5,21,603274,3,2,8,1
1404304,603273,2,20,603275,2,21,4,0
1404305,603272,0,9,603276,2,6,2,2
1405738,603287,0,45,603865,5,233,5,2
1404337,603288,0,8,603289,2,236,2,2
1404338,603289,0,236,603287,1,45,1,2
